netid,zone_number,question_number,score,max_points,reason
abondre2,7,1,10,10,received wrong lambda calculus question variant
advaitt3,7,1,10,10,received wrong lambda calculus question variant
aegould2,7,1,10,10,received wrong lambda calculus question variant
ahhua2,7,1,10,10,received wrong lambda calculus question variant
ajtapia3,7,1,10,10,received wrong lambda calculus question variant
akuls2,7,1,10,10,received wrong lambda calculus question variant
ananyak9,7,1,10,10,received wrong lambda calculus question variant
aryaman5,7,1,10,10,received wrong lambda calculus question variant
as202,7,1,10,10,received wrong lambda calculus question variant
as242,7,1,10,10,received wrong lambda calculus question variant
bavogt2,7,1,10,10,received wrong lambda calculus question variant
boddeti2,7,1,10,10,received wrong lambda calculus question variant
bsmith15,7,1,10,10,received wrong lambda calculus question variant
davidx3,7,1,10,10,received wrong lambda calculus question variant
dc43,7,1,10,10,received wrong lambda calculus question variant
donggyu5,7,1,10,10,received wrong lambda calculus question variant
dsave2,7,1,10,10,received wrong lambda calculus question variant
edley2,7,1,10,10,received wrong lambda calculus question variant
eh14,7,1,10,10,received wrong lambda calculus question variant
emich3,7,1,10,10,received wrong lambda calculus question variant
emora38,7,1,10,10,received wrong lambda calculus question variant
ethanc12,7,1,10,10,received wrong lambda calculus question variant
fls2,7,1,10,10,received wrong lambda calculus question variant
gjburke2,7,1,10,10,received wrong lambda calculus question variant
gzeng6,7,1,10,10,received wrong lambda calculus question variant
hahme7,7,1,10,10,received wrong lambda calculus question variant
hcola2,7,1,10,10,received wrong lambda calculus question variant
ic16,7,1,10,10,received wrong lambda calculus question variant
isaacya2,7,1,10,10,received wrong lambda calculus question variant
jcsze2,7,1,10,10,received wrong lambda calculus question variant
junlim3,7,1,10,10,received wrong lambda calculus question variant
kaims2,7,1,10,10,received wrong lambda calculus question variant
kellyy3,7,1,10,10,received wrong lambda calculus question variant
keshavb2,7,1,10,10,received wrong lambda calculus question variant
kirann2,7,1,10,10,received wrong lambda calculus question variant
krishp3,7,1,10,10,received wrong lambda calculus question variant
krithidk,7,1,10,10,received wrong lambda calculus question variant
kyuwonl2,7,1,10,10,received wrong lambda calculus question variant
leolee2,7,1,10,10,received wrong lambda calculus question variant
lrhyde2,7,1,10,10,received wrong lambda calculus question variant
manyad2,7,1,10,10,received wrong lambda calculus question variant
mderm2,7,1,10,10,received wrong lambda calculus question variant
mh125,7,1,10,10,received wrong lambda calculus question variant
msun55,7,1,10,10,received wrong lambda calculus question variant
npanda2,7,1,10,10,received wrong lambda calculus question variant
parth6,7,1,10,10,received wrong lambda calculus question variant
pc42,7,1,10,10,received wrong lambda calculus question variant
psing7,7,1,10,10,received wrong lambda calculus question variant
raju7,7,1,10,10,received wrong lambda calculus question variant
ramesh18,7,1,10,10,received wrong lambda calculus question variant
rfaistl2,7,1,10,10,received wrong lambda calculus question variant
rlzhao2,7,1,10,10,received wrong lambda calculus question variant
sczuwal2,7,1,10,10,received wrong lambda calculus question variant
sdhital3,7,1,10,10,received wrong lambda calculus question variant
shubhib2,7,1,10,10,received wrong lambda calculus question variant
srao57,7,1,10,10,received wrong lambda calculus question variant
teddyd2,7,1,10,10,received wrong lambda calculus question variant
vaa4,7,1,10,10,received wrong lambda calculus question variant
vanir2,7,1,10,10,received wrong lambda calculus question variant
ved3,7,1,10,10,received wrong lambda calculus question variant
vrame2,7,1,10,10,received wrong lambda calculus question variant
vyare2,7,1,10,10,received wrong lambda calculus question variant
wx10,7,1,10,10,received wrong lambda calculus question variant
wz57,7,1,10,10,received wrong lambda calculus question variant
yuganka2,7,1,10,10,received wrong lambda calculus question variant
yushanl8,7,1,10,10,received wrong lambda calculus question variant
zechen5,7,1,10,10,received wrong lambda calculus question variant
zeqian2,7,1,10,10,received wrong lambda calculus question variant
zoel3,7,1,10,10,received wrong lambda calculus question variant
